% Model,case5_base_model.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 14:32"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
270,284.2514710961106,284.2221737462787,284.2258912412498
271,284.231397249294,284.2021328320473,284.20583899767837
272,284.202532023165,284.1733142267525,284.1770024431263
273,284.1762020169403,284.14703438887665,284.15070724287887
274,284.14961245266136,284.1204962975519,284.1241497048379
275,284.12969477902175,284.10062404056123,284.104262586816
276,284.10824757553326,284.07921951033563,284.0828363639168
277,284.0932103116078,284.064216275119,284.06781842972373
278,284.07404739941137,284.04508770959274,284.0486729318376
279,284.0529511069142,284.0240272931913,284.0275951480425
280,284.0373806247362,284.0084886369987,284.0120480561978
281,284.0152597981538,283.98640408413945,283.9899443723288
282,283.9937512599161,283.964932741772,283.96845710688444
283,283.9872238650308,283.9584277512333,283.96194806753095
284,283.97163549644495,283.9428646808596,283.946370082664
285,283.95749951437944,283.92875276594174,283.9322465868172
286,283.9522210271556,283.92348901531506,283.9269799021212
287,283.9919980191119,283.9632381582127,283.966765442832
288,284.05611880592033,284.0272885397925,284.030839803302
289,284.1108661726277,284.0819382613937,284.08550382046246
290,284.1571272014417,284.1281034111376,284.13170495701235
291,284.2000058897255,284.17089626787805,284.17454525477405
292,284.222175900464,284.193010044659,284.1966906469475
293,284.2290669105323,284.19987399838374,284.2035755285054
294,284.2242673723064,284.1950703490523,284.1987844191719
295,284.21237384476456,284.18319302168055,284.1869150879082
296,284.20077346845835,284.1716216324505,284.1753423904658
297,284.17653547201405,284.1474285276874,284.1511312053965
298,284.1612168335248,284.13214878693594,284.1358428109771
299,284.1482820398745,284.11924996442315,284.1229321073886
300,284.1392295232184,284.11022490915514,284.1138955989569
301,284.1325921072006,284.1036093442007,284.10727129147125
302,284.1281681922131,284.09920196552866,284.1028576280284
303,284.12596970479837,284.09701566655895,284.1006673873731
304,284.12100109073634,284.0920592059769,284.0957040652765
305,284.1151891313694,284.0862597709096,284.08990056695205
306,284.10666487420445,284.0777514926183,284.08138852290745
307,284.09801697997534,284.0691223507895,284.0727548920291
308,284.0923933141661,284.0635151315736,284.0671440326551
309,284.0832527683211,284.0543932346066,284.05801459047507
310,284.0864547727354,284.0576014470711,284.06122539856176
311,284.11194213740913,284.08306735092657,284.08670638505043
312,284.14271795114774,284.1138059639981,284.117458884983
313,284.18964562981756,284.16067121588674,284.16435227872984
314,284.22805104801245,284.19901238263884,284.2027173010264
315,284.2572089917952,284.2281145947806,284.2318433267028
316,284.2751042680014,284.2459704440537,284.249721240027
317,284.29189406337895,284.26273084456375,284.2665050452742
318,284.2895627182936,284.2603952088083,284.26417597885757
319,284.2639395621055,284.2348019085163,284.238573248986
320,284.23519322692243,284.20610385692004,284.20986614896236
321,284.20365429467614,284.17462501586874,284.1783714228951
322,284.17552408173975,284.14655596139687,284.1502823924086
323,284.149900192044,284.12099076598764,284.12469490324423
324,284.1231671601478,284.0943141886425,284.0979908985124
325,284.0962196518645,284.06742022612275,284.07107198133303
326,284.0691250524064,284.04037768518816,284.044008128102
327,284.0437597274394,284.01506259752415,284.0186718569436
328,284.0205679561634,283.9919173121132,283.99550606785596
329,283.98719626465095,283.958599991891,283.9621607877068
330,283.9621520751687,283.9336055181859,283.9371491580802
331,283.9390289648303,283.91052802371627,283.91405313059084
332,283.92035244233256,283.8918908102153,283.89539490754333
333,283.9061470654748,283.87771391359695,283.8812028668877
334,283.9046831278405,283.8762619426547,283.879746900963
335,283.9180196047337,283.88958878510186,283.8930787409265
336,283.95609758526473,283.9276226925403,283.9311333599663
337,284.0008151814011,283.97227447433124,283.9758083952971
338,284.0464510800867,284.01783373225305,284.0213957216587
339,284.1036108202489,284.07490125707653,284.0785066794352
340,284.1527357914617,284.12393759876045,284.1275822431487
341,284.1893801560815,284.16050818173153,284.1641868927855
342,284.1948962003274,284.16598932247024,284.1696848580269
343,284.1812382721263,284.1523293590682,284.1560328530182
344,284.1658846223137,284.1369964245487,284.1407179663808
345,284.150518430928,284.1216679369417,284.12539106519773
346,284.133833350839,284.105027210778,284.10872894312234
347,284.1165630882644,284.08779738754185,284.091477834125
348,284.10436272428154,284.07562859942385,284.07930014940507
349,284.09180324536334,284.0630990904508,284.0667592935913
350,284.0827858824106,284.05410694734434,284.05775724732865
351,284.0718517776343,284.0431973235248,284.046835553625
352,284.0558444926428,284.0272186658985,284.0308439128464
353,284.04487125514333,284.0162708122499,284.01988861488275
354,284.02588751020477,283.9973193262409,284.00092238958
355,284.01484030993,283.9862989242103,283.98989386940696
356,283.9911470811923,283.962642788419,283.9662189532111
357,283.957877690681,283.9294225318402,283.9329730996887
358,283.93234559943465,283.9039394280747,283.90747808316524
359,283.96629037202143,283.93787373548287,283.9414358474611
360,284.0372450677112,284.00875430247737,284.01234802875314
361,284.0893995054484,284.06082311888105,284.0644294133172
362,284.1360629023583,284.1073980335534,284.11103314247885
363,284.1699262512699,284.1411875584217,284.14485775777274
364,284.2013721773897,284.1725721456488,284.176279955346
365,284.2185525179679,284.18971342877586,284.1934455353878
366,284.2169975726392,284.1881482743911,284.19189023429794
367,284.202163722256,284.17333053088316,284.1770741422876
368,284.17643408715713,284.1476404391444,284.15137634229114
369,284.1576139348508,284.12886342244,284.13259269355495
370,284.1365608454637,284.10785682888667,284.1115704539042
371,284.12032934853585,284.09166686707584,284.0953649671646
372,284.1092273875232,284.0805979328101,284.0842829927259
373,284.1037707457388,284.0751653557935,284.07884120071986
374,284.1044949246525,284.0759008313655,284.0795702137138
375,284.1176188013233,284.0890179810248,284.0926914611671
376,284.1188514901725,284.09024818679967,284.09391707805503
377,284.1158597281908,284.0872595183575,284.0909262385441
378,284.10868140108784,284.08009173344465,284.08375704787767
379,284.10040681733307,284.0718324588607,284.07549633308895
380,284.0822218765665,284.0536760565522,284.05732819065014
381,284.05863733969505,284.0301304325199,284.0337676163332
382,284.03603371353046,284.00756916411393,284.01119236933386
383,284.0377169362907,284.0092718437458,284.0128957774703
384,284.05290180306827,284.0244522325703,284.02807862738314
385,284.07277971750005,284.0443110456906,284.04793811940186
386,284.0880753287125,284.0595809617001,284.06320824716556
387,284.0952137079946,284.0666968834652,284.0703320603419
388,284.09515585955637,284.06662889734054,284.070276779116
