% Model,case4_base_model_nu0.001_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 7 2023, 22:46"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
338,278.19178439598073,278.17914483609206,278.2061709857315
339,278.4607609682403,278.4477496063557,278.47484280501146
340,278.6925098961297,278.6792115517353,278.7063444955238
341,278.866685612424,278.8532373124086,278.8803823978681
342,278.8974760024645,278.8841203576151,278.9112021629773
343,278.8400534647265,278.8269860201412,278.85396846328115
344,278.7748963534468,278.762265819472,278.7892053239049
345,278.70965305210325,278.69757768554683,278.72441390223685
346,278.63831243716646,278.6268534337704,278.6534999979605
347,278.56427123611974,278.55342907769835,278.57990820482013
348,278.5135729513949,278.50331513346487,278.52971357742086
349,278.46117400394104,278.4514976820757,278.4778264909418
350,278.4250797848994,278.4159652550022,278.4422510420112
351,278.378804722348,278.37024462183024,278.3964988571631
352,278.31101256707734,278.3030050502095,278.3292349334675
353,278.26628152679604,278.2587687720178,278.28501115696076
354,278.18443238942314,278.177380152213,278.20361128582306
355,278.13922272363413,278.13251606946324,278.1587700323031
356,278.0357720338132,278.02935067238445,278.0555806727468
357,277.88830214093633,277.88213183144165,277.90830677196817
358,277.7767316114704,277.77066161842686,277.7968390331149
359,277.9395082570246,277.93315304225337,277.959485430925
360,278.27257211574437,278.2655550453952,278.292073535158
361,278.5186984477101,278.5109147576747,278.53753252228427
362,278.73954198099426,278.7309574849359,278.7577453397193
363,278.90139173888764,278.8920862418559,278.91906829935675
364,279.0521044582484,279.0421747035276,279.0693537626623
365,279.13708197469646,279.12668911246635,279.1539949371727
366,279.1358092439663,279.1251535251019,279.15250955136355
367,279.07343648056707,279.06270762524633,279.09006597463036
368,278.9609095855199,278.95028116881616,278.9775903749683
369,278.8802198213532,278.8697691442793,278.89702585792764
370,278.7891802793086,278.7789798974512,278.80613764806117
371,278.72032085656275,278.71040092519013,278.73745684527125
372,278.67502964955696,278.6654006402105,278.69236542558343
373,278.6556915565628,278.64634860693,278.67324030591556
374,278.6647408679306,278.6556722482715,278.6825083372641
375,278.73084697594436,278.72199184228367,278.7488251351475
376,278.7420943731057,278.7334729543071,278.7602696914651
377,278.73394392872507,278.72555866899074,278.7523328544099
378,278.70656864511966,278.6984091517646,278.7251650681109
379,278.6742053487284,278.66625035660576,278.69298722511473
380,278.5962823807895,278.5884989580527,278.6151664215825
381,278.4936188097081,278.4859644615469,278.5125437674875
382,278.39559893617246,278.387995902923,278.41448667618374
383,278.4095940006078,278.4018466690463,278.428309623959
384,278.4857545742418,278.47767706791336,278.50411529874606
385,278.5834571811048,278.5749168952426,278.6013304116124
386,278.6599875154005,278.65093489874397,278.6773288206583
387,278.69909623487325,278.6895578414784,278.7159373483627
388,278.7046731128613,278.69472702193383,278.72108927938257
389,278.62902320456936,278.6188331801157,278.64512420189345
390,278.5140524141993,278.50378258848684,278.529977536838
391,278.3828027036049,278.3725981151917,278.3986736962457
392,278.22864412936417,278.21864464736,278.24456109975654
393,278.1023648350516,278.092660056398,278.11842124442194
394,277.97151799171246,277.96219359098336,277.9877789621497
395,277.8470944633871,277.83819811578064,277.86361979178
396,277.7434967389347,277.73507889784355,277.76036327675007
397,277.62067560586087,277.61285074562477,277.63800022802275
398,277.53814302420795,277.530944715731,277.5560301351272
399,277.48864468215584,277.4820655502303,277.5071401459297
400,277.54358943900723,277.53750395757106,277.56266395582685
401,277.61926791499474,277.6135910742915,277.63885301139453
402,277.6648565276868,277.65951696049257,277.68486539729787
403,277.6894519644391,277.6843271229872,277.70985575468177
404,277.69030102383374,277.6853064300078,277.7110093622934
405,277.68508442441646,277.68011134903,277.7059747750281
406,277.6967507868185,277.69165166229806,277.71767254794736
407,277.83069361274437,277.8251976912964,277.8514401833016
408,278.0423040072091,278.03614319011723,278.062620160352
409,278.25274405859676,278.2457468931304,278.2724389289112
410,278.43412442910466,278.42621653085786,278.45312644282905
411,278.5359569764688,278.5271894191682,278.55429133801914
412,278.5786811490565,278.5691592084681,278.59643265905527
413,278.6148450918908,278.604661702696,278.6320990081179
414,278.60918906796235,278.5984792838239,278.6260212326774
415,278.5425868312293,278.53152677320685,278.55910870360384
416,278.4886816793812,278.4773970140824,278.50501903944235
417,278.41924182116946,278.40786981867626,278.4354947170656
418,278.31744373584553,278.3061373097462,278.33372217687815
419,278.2422202696529,278.2310547110579,278.2586221506515
420,278.13581422092795,278.1249360850778,278.15244254698763
421,278.06146539000315,278.05094341631406,278.07842074471387
422,277.95896623444787,277.94889347548684,277.9763295096454
423,277.81352063428534,277.80399799033415,277.8313808922543
424,277.7120589232321,277.7030832609053,277.73046760503115
425,277.62834540561744,277.61987408178555,277.64726596440846
426,277.5947395494792,277.58665203669517,277.6140774041514
427,277.5999087466484,277.59204294406874,277.619521960848
428,277.55646030441034,277.54874409765154,277.5762258550343
429,277.5242372243758,277.5165446547554,277.5440867244821
430,277.4965141382874,277.48866298636943,277.51627166193225
431,277.70006092631667,277.691696729544,277.71950062718514
432,278.09422529676095,278.0849704552698,278.1130327844842
433,278.31085447930457,278.30070957899613,278.32887055404257
434,278.5319826514055,278.52092758622183,278.5492854761777
435,278.69275912302743,278.6808890107904,278.7094528636048
436,278.791141995169,278.7786112305111,278.80733453562004
437,278.8315180772202,278.8185014946923,278.847329886545
438,278.81719702655954,278.80387728261593,278.83275240776334
439,278.72536498301156,278.71195123392755,278.7407937667846
440,278.6272011124801,278.6138390988017,278.6426230656325
441,278.50777401973266,278.49459390852024,278.5232681662989
442,278.3843242659976,278.3714221181999,278.399953140798
443,278.2181461674916,278.20563516069586,278.2339746508012
444,278.07565125235817,278.0635799819137,278.09174353717407
445,277.93395428251364,277.92236362573556,277.9503414078064
446,277.8487981495856,277.8376599597203,277.86548481134594
447,277.7060539726241,277.6954151255362,277.7230386967802
448,277.58827624239535,277.5781189030273,277.6055798602554
449,277.5248545108785,277.5150965123373,277.5424384255797
450,277.5198103864252,277.510325502342,277.53757199866305
451,277.522834418536,277.51351477464283,277.5406594506343
452,277.53346488233524,277.52420365526234,277.5512633639814
453,277.55227135221304,277.542962456986,277.56995793351064
454,277.550268194568,277.54083706224174,277.56775956545687
455,277.6868725347184,277.6771004169725,277.7040512689357
