% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
181,279.403988401651,279.4337420451899,279.45468302606815
182,279.2293365480571,279.26023404390463,279.2813564065592
183,279.14444808359946,279.1764625280583,279.1978278530569
184,279.09548291462664,279.1282921078519,279.1498153400392
185,279.015120924159,279.0483737590283,279.06992975620494
186,278.92565630785947,278.9593672058115,278.9810257488999
187,278.83036357011684,278.86464359528617,278.8865080023239
188,278.7318096623805,278.76660860922595,278.78867906723195
189,278.6552584830924,278.6904216777857,278.7126646403238
190,278.6401732430209,278.6753926203261,278.6977597590527
191,278.6875821378731,278.72252874087195,278.7449615626091
192,278.80633336612806,278.8406327364545,278.8630601654631
193,279.0591454043428,279.092354857263,279.11471558122287
194,279.31531540103555,279.34701387726255,279.3691723700762
195,279.53896737822487,279.56904075469095,279.5909438408407
196,279.624776499415,279.6534828866296,279.6751360496697
197,279.59353364887716,279.6214522184758,279.64296195817934
198,279.5066033185964,279.53434040895985,279.55583351683197
199,279.35858442864117,279.3865978265909,279.40812958704606
200,279.2284594704525,279.2570486644743,279.2786665224424
201,279.1095955218004,279.1388837717842,279.16057741431547
202,279.012646881785,279.04264062770017,279.06439273159214
203,278.92972167218454,278.96040975003245,278.98221507031843
204,278.8799924284025,278.91131028276425,278.93317449986813
205,278.88228290466435,278.9141289845372,278.9360664910136
206,278.86980725481425,278.9020916545259,278.9240807550985
207,278.83643435614306,278.86914295169373,278.89118530653326
208,278.7957665409068,278.8290133392469,278.85118047871947
209,278.7848937517913,278.8187664661184,278.8411373378541
210,278.7554735934178,278.78984939629817,278.8123803591762
211,278.7653232446089,278.8001161611891,278.8228251921167
212,278.7155564184811,278.75059274727795,278.77341840799323
213,278.66516322214466,278.7004536790146,278.7234418470311
214,278.6420301707936,278.6775833694559,278.7007948722431
215,278.7113517927963,278.74694847889975,278.77036503063033
216,278.86103178782747,278.89597380809556,278.91938895615897
217,279.01003893271326,279.04397362231515,279.06729262377155
218,279.12133306731107,279.1541755107597,279.17737394568695
219,279.2781121332375,279.3098983576437,279.33301991101723
220,279.3880398307165,279.41880564000564,279.44181167709627
221,279.48356375192105,279.5134752785901,279.53637162637364
222,279.5460727785242,279.5753220431166,279.5981153884668
223,279.55142338361946,279.58027748801476,279.6029795131914
224,279.54248046877507,279.57124020506313,279.5939007854579
225,279.50672546397544,279.5356535280759,279.5583016623646
226,279.4738291740228,279.50307294596064,279.5257360576489
227,279.44512134310156,279.47476577396304,279.49746138431345
228,279.3980551767174,279.4281568046783,279.4508936799363
229,279.32291901431444,279.3535346711621,279.3763206936767
230,279.2455285269158,279.27683149524535,279.2997481641882
231,279.14460112366464,279.17667553839254,279.1997473073451
232,279.0344848791737,279.06739365178214,279.09064622675703
233,278.9407593871212,278.9745232685142,278.9979848984216
234,278.83796705094136,278.872551692013,278.8962183559518
235,278.7823421854536,278.81766771059154,278.8415535984892
236,278.7547450701066,278.79063792660077,278.8147128366689
237,278.7316474258268,278.7679406033427,278.7921619833607
238,278.7255920122346,278.76217374694596,278.78652563928586
239,278.85983210642127,278.8964773411807,278.9209679249838
240,279.0906309070934,279.1268789569018,279.1513986659241
241,279.32347082776937,279.3589207476888,279.38333032666554
242,279.5190567575938,279.553598214958,279.57785142958556
243,279.6735802479487,279.70732783908466,279.7314545871093
244,279.76347623972447,279.79664784961,279.8206861662186
245,279.7838736607669,279.81667011558835,279.8406391035656
246,279.7537771426481,279.78655058615215,279.8105345744813
247,279.7202687950345,279.7533384575734,279.777423262672
248,279.6954302523238,279.7288700089248,279.7530407223129
249,279.6510211579955,279.6847425156758,279.70891459236486
250,279.6107902270306,279.6448139999731,279.66899234310955
251,279.6037798866442,279.6381610413271,279.6623963095325
252,279.5914308524376,279.6260468953585,279.65028289665975
253,279.59954157065664,279.6343569290933,279.6585956633632
254,279.583243396496,279.6182563809705,279.64249186562455
255,279.4996779944783,279.5349223789127,279.5591312423754
256,279.3665598742011,279.40238506578305,279.4266890329698
257,279.2199718830692,279.25653865963307,279.280992099566
258,279.0684205317426,279.1057539205106,279.13036629821414
259,278.9134925088458,278.9515371700169,278.97629773054484
260,278.7718754786283,278.8105244468479,278.83542251568923
261,278.65195385215526,278.69104194900046,278.71605600162604
262,278.5647060311885,278.6040832826818,278.6292003631431
