% Model,case4_base_model_solved_Q_1.3.mph
% Version,COMSOL 6.0.0.405
% Date,"May 2 2024, 18:54"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
186,279.5202491991918,279.5197785685511,279.54702060702664
187,279.43296944457865,279.43266766659747,279.45997773573134
188,279.3428806319404,279.3426929291069,279.37001980955324
189,279.27310282018243,279.27292760919624,279.30024216187354
190,279.2598946309154,279.2595522167106,279.2868682126027
191,279.3039261702151,279.30326459952965,279.33060433736983
192,279.41313153259296,279.4119856873973,279.4393783068132
193,279.6455813693966,279.64371750239843,279.67123906024443
194,279.8793796076969,279.87666964282164,279.90430567010037
195,280.08219605262406,280.0786021528298,280.1063520736972
196,280.15742046403136,280.1530719442643,280.1808844701112
197,280.1257725023919,280.1208740091951,280.14871390608494
198,280.04461367832755,280.0393673055369,280.06720818217764
199,279.908225078998,279.90284519436784,279.9306173370475
200,279.7894701322093,279.78409747082213,279.8117801233114
201,279.68135782004344,279.67611606306383,279.70368009592875
202,279.5932734001812,279.588243321325,279.61568916247694
203,279.51795854942736,279.5131893106391,279.5405277812732
204,279.47290623588214,279.4684807228543,279.49575515600645
205,279.4730218491542,279.4689554556806,279.49622144149254
206,279.4625337307763,279.45887401852127,279.48615156635935
207,279.4322704209591,279.4290645917701,279.4563670307812
208,279.39464592942124,279.3919258590292,279.4193114691971
209,279.38494120684794,279.3826900591604,279.41022284588354
210,279.35762906959786,279.3558227277908,279.383467507255
211,279.36677780200296,279.36531289619745,279.39311320023734
212,279.31999342808047,279.3188131872417,279.3467273367589
213,279.27305291347614,279.27208925226955,279.3001479400982
214,279.25227170492286,279.2514433430102,279.2796792895613
215,279.31728079277724,279.31645082818807,279.34487211845857
216,279.4497141870267,279.44873232808294,279.47730233892526
217,279.5849696080083,279.5837263064999,279.61241414583657
218,279.68572096551213,279.68413146980384,279.71297469072107
219,279.82259750134324,279.8205288357842,279.8496390089875
220,279.92527148318936,279.92265717518615,279.9519560188775
221,280.01352740134064,280.01032791036835,280.03975871266664
222,280.0697436316771,280.0659946958259,280.0955625457526
223,280.0726125914324,280.0685166825452,280.0981814176317
224,280.0632928110209,280.0590203956009,280.08875964313035
225,280.0313863936611,280.0270988882333,280.05687981969197
226,280.00058872766914,279.99640595886945,280.0262194761535
227,279.9739633175151,279.9699754900623,279.99982027648656
228,279.9304857656306,279.9267833543746,279.95665095673496
229,279.8610231632356,279.8576844412845,279.8875635452128
230,279.7901430145294,279.78723926249694,279.8171688966962
231,279.69881802345293,279.6964009000552,279.72637480642493
232,279.59760919053707,279.59569990450325,279.6257207198994
233,279.5119250647584,279.5104955731056,279.5405831992217
234,279.4179143277024,279.4169318977734,279.4470787441633
235,279.3677266656263,279.3670970871925,279.39733316124665
236,279.3431222462868,279.342743503901,279.3730742865401
237,279.3221447106701,279.3219328408765,279.3523498542749
238,279.3167270022407,279.3165963827823,279.3471096843722
239,279.4412785145572,279.4410338428378,279.47172775211214
240,279.6539430278418,279.6533934671155,279.68429096277356
241,279.86669283988635,279.8657393352416,279.8968166439284
242,280.04416835320274,280.04279132872665,280.07404292355363
243,280.18390423762287,280.18213401713757,280.21356030425727
244,280.2644197251809,280.2623399354559,280.2939037871589
245,280.2810230011122,280.27872913988597,280.31037463065917
246,280.2522071570815,280.249803469813,280.281505935926
247,280.2217663354889,280.21932871547847,280.251068601829
248,280.19979088966,280.1973629755378,280.2290765424901
249,280.1590781679021,280.1566954815944,280.18830593662
250,280.1222722784805,280.119945920341,280.15146847440093
251,280.11674718167325,280.1144725847856,280.1459498763059
252,280.10559761449963,280.10341472983197,280.1347968130576
253,280.1132361002297,280.11115762821294,280.1424608597619
254,280.09803352579087,280.09610650414925,280.12732372269915
255,280.0201487624821,280.0184560311388,280.04954273590096
256,279.89771970188764,279.8963544018782,279.92733193533
257,279.76364477780163,279.7626307368811,279.7934853440518
258,279.62535211356936,279.62465308465084,279.6553612967161
259,279.4840502026402,279.48357905361513,279.5141224182492
260,279.3551534272239,279.3547703067986,279.38514854949045
261,279.2462776815855,279.24580732209273,279.2760258976307
262,279.16762789107463,279.1669129319304,279.19698945932777
263,279.1428866790546,279.1417186029555,279.1716779279061
264,279.2118456614643,279.20990626403204,279.2397917067955
265,279.28657070495797,279.2837080869765,279.3135250765385
266,279.34228442652716,279.33845055173316,279.368207010118
267,279.4263112589763,279.4214779647746,279.451221561411
268,279.37142754125637,279.3657631608625,279.39540308513983
269,279.35133512865315,279.3449164519555,279.37451061750824
270,279.3036665678226,279.29660970814354,279.32613045088266
271,279.2228752059042,279.2153177806969,279.2447240145499
272,279.10465143863655,279.0967494344914,279.1260095815609
273,278.99714238027383,278.9890300347344,279.01814496789973
274,278.88843787047756,278.88022439450435,278.90916617236024
275,278.8080434884686,278.79978594554257,278.828564806242
276,278.72100527272687,278.712824228125,278.7414009546529
277,278.66115276897943,278.65311165404887,278.6815113825289
278,278.5836488830823,278.57583233564844,278.6040467529216
279,278.49788381298976,278.49035267446357,278.518382200536
280,278.4356123142441,278.4283905249912,278.45627687433347
281,278.3454049786872,278.3385297597028,278.3662337519099
282,278.2579019847273,278.25133734607857,278.2788770171624
283,278.2342305644967,278.22784375928103,278.2552686250194
284,278.1720274397349,278.1657407844985,278.1930046502282
285,278.1161570561887,278.1098635334629,278.1369782157672
286,278.0981006516924,278.0916562528261,278.1186554457168
287,278.2866921341693,278.2797717646059,278.3067865028071
288,278.5672779074519,278.55959732064764,278.58664184559944
289,278.8015662344682,278.79299093067453,278.8200287699165
290,278.99979548240196,278.99025218159596,279.0173216833318
291,279.1842727870154,279.17372431647163,279.2008660592192
292,279.2814493955099,279.26997274425497,279.29713356664985
293,279.3143147430662,279.3020254094462,279.32916989679376
294,279.2958609119138,279.28289976578674,279.30999589888467
295,279.24822118626815,279.23470215224927,279.261724394073
296,279.2035772903851,279.1896513324397,279.21658030882367
297,279.10555697177483,279.0914211477002,279.1181872076907
298,279.04530583454454,279.0310684020081,279.05770156262423
299,278.99505054509484,278.9807901761396,279.0072721156677
300,278.9610942522728,278.94694433358256,278.97327302487423
301,278.93730178372266,278.92334147917296,278.9495308577581
302,278.92282837901695,278.90912981541294,278.93519625839895
303,278.9177595783663,278.9043666558066,278.93032601970145
304,278.9008643439891,278.887825765193,278.9136747724603
305,278.880397306065,278.8677409193397,278.8935013413175
306,278.8484281711209,278.83616542691414,278.8618475915097
307,278.81603351269285,278.8041332495153,278.82974091133343
308,278.796586630848,278.7849891307538,278.8105274520624
309,278.7622619604344,278.7509200535771,278.77637263822123
310,278.78054093902904,278.769329119514,278.7947366459622
311,278.89363599325145,278.88235546537754,278.90776786419036
312,279.0292298000831,279.0177291719845,279.0431400640717
313,279.2335253923885,279.2216003201633,279.2470681086937
314,279.401599279386,279.38914446588956,279.4146518262772
315,279.53049073827395,279.5174466677849,279.54299368524767
316,279.6116646634381,279.5980071450133,279.62358715293016
317,279.6882913389224,279.67397365529985,279.6995928869815
318,279.68378959748344,279.66884057578693,279.6944306904715
319,279.58048293995347,279.56498908103475,279.5904854357142
320,279.4640505575226,279.4480580755307,279.4734643797054
321,279.3357923008944,279.31934940867797,279.34463987577584
322,279.22202865391966,279.2051664544427,279.23032765945027
323,279.118889050532,279.1016293663016,279.12665517489035
324,279.0109771020992,278.99336735627077,279.01824120311477
325,278.90209364236915,278.88420309305997,278.90893970263727
326,278.7924954506449,278.77442330003345,278.79903628882465
327,278.69012172326234,278.6720308986523,278.69650250217194
328,278.5969072780271,278.57889542638253,278.6032096113208
329,278.4603347558267,278.44251093779786,278.46661877708567
330,278.35923076185617,278.3416152975271,278.36554874703455
331,278.26624920844176,278.24884035940073,278.2725804120363
332,278.1922208133927,278.1749820566081,278.1985056629023
333,278.1372721749673,278.1201058093563,278.14342780050237
334,278.13657275024815,278.119365632596,278.14253131710376
335,278.1988155449086,278.1814486090536,278.2044960623817
336,278.36623234929624,278.3485562927746,278.3715488327506
337,278.56169791906734,278.54364349758055,278.5665854153942
338,278.7609298674291,278.74249646621496,278.7653968468431
339,279.0090320355972,278.99021516142585,279.01312378877594
340,279.22280014098567,279.20368618821016,279.22657269355415
341,279.38344970558643,279.3641744531508,279.38700834420246
342,279.4118021440873,279.3925991169609,279.41530631425354
343,279.35875193215963,279.33980929319176,279.3623537554517
344,279.2985505368804,279.28001468247453,279.302446715668
345,279.23826413346285,279.2202535983082,279.24251676148646
346,279.17234699250923,279.1549272560153,279.17694220564124
